CaseID,Activity1,Activity2,Activity3,Duration,NextActivity
173688,3,5,6,17212,3
173691,3,5,6,12947,6
173691,5,6,6,12941,6
173694,3,5,6,49290,7
173706,1,3,3,284,3
173706,3,3,3,44355,1
173712,1,3,3,3152,3
173712,3,3,5,7316,11
173715,3,5,6,17239,3
173718,3,5,6,17392,4
173718,5,6,4,17421,6
173718,6,4,6,8417,13
173718,4,6,4,8412,6
173718,6,4,6,11545,3
173721,3,5,6,12886,4
173721,5,6,4,12898,15
173721,6,4,4,382,1
173724,1,3,3,3096,3
173724,3,3,3,28,5
173730,3,5,6,25885,4
173730,5,6,4,25784,6
173730,6,4,6,1248,18
173730,4,6,4,1255,6
173730,6,4,6,112,4
173730,4,6,4,125,19
173730,6,4,6,1095,6
173730,4,6,6,1236,1
173733,1,3,5,4205,6
173736,3,5,6,16989,21
173736,5,6,4,12844,6
173736,6,4,6,7272,3
173739,3,5,6,17145,4
173739,5,6,4,17521,23
173739,6,4,6,1630,1
173742,1,3,3,18776,1
173745,1,3,5,9924,1
173748,1,3,5,75,5
173748,3,5,5,2927,3
173748,5,3,5,5516,6
173751,3,5,6,14105,3
173751,6,3,2,4547,2
173754,3,2,2,18644,3
173760,3,5,6,18700,1
173763,1,3,3,7454,3
173766,3,3,3,2435,31
173778,1,3,3,15.00000001,5
173781,3,3,5,12197,6
173784,3,5,6,23286,33
173784,5,6,4,11159,6
173784,6,4,6,12745,4
173784,4,6,4,12793,34
173784,6,4,6,4368,4
173784,4,6,4,4602,6
173784,6,4,6,15887,35
173784,4,6,6,21434,3
173787,3,5,5,23600,3
173790,3,5,6,6245,6
173790,5,6,6,10371,3
173793,3,5,6,21648,4
173793,5,6,4,21357,39
173793,6,4,6,61,6
173793,4,6,6,30,3
173796,3,5,5,10551,3
173802,1,3,5,52,5
173805,3,5,5,44678,1
173811,1,3,5,160,5
173811,3,5,5,44591,44
173814,1,3,3,41.99999999,45
173817,3,5,6,11483,3
173817,5,6,3,4.000000003,46
173823,3,5,6,12901,6
173823,5,6,6,14372,47
173826,1,3,3,305,48
173829,1,3,3,23,49
173829,3,3,5,58.99999999,5
173835,3,5,5,21855,3
173841,3,3,5,8418,51
173844,3,5,6,11806,3
173847,3,5,6,12990,1
173856,1,1,1,4.999999995,3
173856,1,1,3,191,5
173859,1,3,5,190,54
173859,3,5,5,10326,1
173862,1,3,5,10498,6
173868,3,5,6,32990,3
173871,3,5,6,15808,6
173871,5,6,6,13824,57
173880,1,3,5,271,58
173880,3,5,6,35948,4
173880,5,6,4,36108,6
173880,6,4,6,10207,59
173889,1,1,3,262,60
173898,1,3,5,10627,5
173898,3,5,5,14762,1
173901,1,1,3,70.00000001,5
173904,1,3,5,77,62
173913,3,5,6,13271,6
173913,5,6,6,13269,2
173916,2,1,3,69,64
173919,1,3,3,1594,1
173925,1,3,3,175,3
173925,3,3,5,187,66
173928,3,5,6,40550,4
173928,5,6,4,40487,6
173928,6,4,6,12899,67
173928,4,6,4,12725,6
173928,6,4,6,28629,1
173934,1,3,3,43246,3
173937,3,3,3,12,69
173940,3,5,6,13054,4
173940,5,6,4,2808,70
173940,6,4,6,1553,4
173940,4,6,4,1547,6
173940,6,4,6,1099,71
173943,1,3,5,10716,72
173943,3,5,5,44560,3
173946,3,5,5,44602,1
173949,1,3,5,3352,6
173949,3,5,6,40528,3
173955,3,5,6,22881,4
173955,5,6,4,11334,76
173955,6,4,4,59510,3
173961,1,1,3,130,78
173964,1,3,3,101,5
173964,3,3,5,10028,6
173979,3,5,6,11701,79
173985,1,3,5,10266,6
173985,3,5,6,13424,81
173985,5,6,6,4174,1
173988,1,3,5,10477,3
173988,3,5,3,247,5
173988,5,3,5,1543,83
173997,3,5,5,22823,1
174000,1,3,5,5.999999999,5
174000,3,5,5,44608,1
174000,5,5,1,81,85
174006,1,3,5,3404,6
174009,3,5,6,14313,86
174012,3,5,5,21804,87
174015,1,3,5,136,88
174018,3,5,5,19990,1
174021,1,1,3,5.000000006,3
174024,1,3,3,150,1
174027,1,3,5,15675,5
174030,3,5,5,46352,91
