CaseID,Activity1,Activity2,Activity3,Duration,NextActivity
1-364285768,1,1,2,45.99999999,1
1-364285768,1,2,1,8624,2
1-364285768,1,3,2,1.000000003,1
1-364285768,1,2,1,17175,4
1-364285768,1,4,1,1040044,4
1-364285768,1,4,1,31319,3
1-364285768,1,3,5,10936,1
1-467153946,1,1,2,7.000000002,1
1-467153946,1,2,1,101,6
1-467153946,1,6,2,4049,1
1-467153946,1,7,1,43111,7
1-467153946,1,7,1,1485,4
1-467153946,1,4,1,24,6
1-467153946,1,6,8,148,4
1-467153946,1,8,1,32221,2
1-467153946,1,2,1,993,4
1-467153946,1,4,1,76,6
1-467153946,1,6,1,1548,8
1-467153946,1,8,1,1474,8
1-467153946,1,8,2,10,1
1-467153946,1,1,4,220086,1
1-467153946,1,4,1,151164,7
1-467153946,1,7,2,93718,1
1-467153946,1,2,1,159903,3
1-467153946,1,3,5,10526,1
1-503573772,1,1,2,1.999999996,1
1-503573772,1,2,1,5609,2
1-503573772,1,2,1,1.999999996,2
1-503573772,1,2,1,93799,2
1-503573772,1,2,1,463634,1
1-503573772,1,1,2,6876,1
1-503573772,1,2,1,11734,8
1-503573772,1,8,1,44249,3
1-503573772,1,3,5,11063,1
1-504538555,1,1,2,3.999999992,1
1-504538555,1,2,1,1546,2
1-504538555,1,2,1,155,4
1-504538555,1,4,1,788,2
1-504538555,1,2,1,91286,2
1-504538555,1,2,1,451803,2
1-504538555,1,2,1,30468,7
1-504538555,1,7,1,1435,1
1-504538555,1,1,3,42783,5
1-504538555,1,3,5,11066,1
1-506071646,1,1,1,8.999999998,2
1-506071646,1,1,2,7.999999995,1
1-506071646,1,2,1,57.00000001,2
1-506071646,1,2,1,15,6
1-506071646,1,6,1,79,2
1-506071646,1,2,1,51.00000001,2
1-506071646,1,2,1,1000,2
1-506071646,1,2,1,143,2
1-506071646,1,2,1,4.000000003,6
1-506071646,1,6,1,1316,2
1-506071646,1,2,1,587,2
1-506071646,1,2,1,1166,6
1-506071646,1,6,1,5630,4
1-506071646,1,4,1,9.000000008,2
1-506071646,1,2,1,1.999999996,2
1-506071646,1,2,1,1451,2
1-506071646,1,2,1,19,2
1-506071646,1,2,1,21,2
1-506071646,1,2,1,5.999999999,6
1-506071646,1,6,1,71,6
1-506071646,1,6,1,11375,1
1-506071646,1,1,6,4.000000003,1
1-506071646,1,6,1,1439,2
1-506071646,1,2,1,188,2
1-506071646,1,2,1,270,2
1-506071646,1,2,1,59026,2
1-506071646,1,2,1,28586,6
1-506071646,1,6,1,1523,1
1-506071646,1,1,6,1435,1
1-506071646,1,6,1,89,2
1-506071646,1,2,1,79174,1
1-506071646,1,1,3,415746,5
1-506071646,1,3,5,11061,1
1-512795200,1,1,2,7.000000002,1
1-512795200,1,2,1,19,4
1-512795200,1,4,1,7.000000002,6
1-512795200,1,6,3,5424,4
1-512795200,1,2,1,805,4
1-512795200,1,4,1,51,6
1-512795200,1,6,1,70647,6
1-512795200,1,6,4,216283,1
1-512795200,1,6,4,56358,1
1-512795200,1,6,1,135063,6
1-512795200,1,6,4,10272,1
1-512795200,1,4,1,1151,6
1-512795200,1,6,3,62249,5
1-516553982,1,1,2,7.999999995,1
1-516553982,1,2,1,8538,2
1-516553982,1,2,1,34.00000001,6
1-516553982,1,6,1,4112,6
1-516553982,1,6,1,7629,2
1-516553982,1,2,1,988,2
1-516553982,1,2,1,56,2
1-516553982,1,2,1,18929,2
1-516553982,1,2,1,139811,1
1-516553982,1,1,3,376760,5
1-516553982,1,3,5,11060,1
1-522528740,1,1,2,3.999999992,1
1-522528740,1,2,1,61.99999999,2
1-522528740,1,2,1,81,4
1-522528740,1,4,1,75,2
1-522528740,1,2,1,11659,7
1-522528740,1,7,1,516564,3
1-522528740,1,3,5,11058,1
1-523391859,1,1,10,14,1
1-523391859,1,10,1,213,6
1-523391859,1,6,1,441905,3
1-523391859,1,3,5,82615,1
1-529067006,1,1,2,10,1
1-529067006,1,2,1,5567,2
1-529067006,1,2,1,63,6
1-529067006,1,6,1,1063,2
1-529067006,1,2,1,152,2
1-529067006,1,2,1,14,2
1-529067006,1,2,1,52235,4
1-529067006,1,4,1,20028,1
1-529067006,1,1,3,415842,5
1-529067006,1,3,5,11041,1
1-529096847,1,1,2,9.000000008,1
1-529096847,1,2,1,5444,2
1-529096847,1,2,1,5.999999999,6
1-529096847,1,6,1,1509,2
1-529096847,1,2,1,1191,4
1-529096847,1,4,1,104,2
1-529096847,1,2,1,2.000000007,6
1-529096847,1,6,1,31,6
1-529096847,1,6,1,1.999999996,2
1-529096847,1,2,1,56,4
1-529096847,1,4,1,57509,2
1-529096847,1,2,1,30,4
1-529096847,1,4,1,7.999999995,6
1-529096847,1,6,6,4304,6
1-529096847,1,8,1,53096,2
1-529096847,1,2,1,180,2
1-529096847,1,2,1,2.999999999,2
1-529096847,1,2,1,108,2
1-529096847,1,2,1,4.999999995,6
1-529096847,1,6,1,14,2
1-529096847,1,2,1,52,2
1-529096847,1,2,1,4.999999995,2
1-529096847,1,2,1,23054,1
1-529096847,1,1,3,332125,5
1-529096847,1,3,5,11037,1
1-530458987,1,1,2,6.999999991,1
1-530458987,1,2,1,7493,2
1-530458987,1,2,1,1393,6
1-530458987,1,6,6,2957,1
1-530458987,1,2,1,5837,2
1-530458987,1,2,1,1358,6
1-530458987,1,6,1,221,2
1-530458987,1,2,1,1248,4
1-530458987,1,4,1,8995,2
1-530458987,1,2,1,44,2
1-530458987,1,2,1,20066,4
1-530458987,1,4,1,20026,3
1-530458987,1,3,1,375639,8
1-530458987,1,8,1,40212,3
1-530458987,1,3,5,11036,1
1-530772502,1,1,2,13.99999999,1
1-530772502,1,2,1,5993,2
1-530772502,1,2,1,50,2
1-530772502,1,2,1,43361,4
1-530772502,1,4,1,20024,2
1-530772502,1,2,1,415855,3
1-530772502,1,3,5,11035,1
1-530838254,1,1,2,11,1
1-530838254,1,2,1,5490,2
1-530838254,1,2,1,29,6
1-530838254,1,6,2,1628,2
1-530838254,1,8,1,41585,3
1-530838254,1,3,2,110,1
1-530838254,1,2,1,1.999999996,2
1-530838254,1,2,1,901,4
1-530838254,1,4,1,331,2
1-530838254,1,2,1,1.000000003,4
1-530838254,1,4,1,83,6
1-530838254,1,6,2,1242,1
1-530838254,1,2,1,1.000000003,4
1-530838254,1,4,1,4178,2
1-530838254,1,2,1,166,4
1-530838254,1,4,4,4311,1
1-530838254,1,2,1,41792,8
1-530838254,1,8,1,376794,3
1-530838254,1,3,5,11034,1
1-532109338,1,1,2,4.000000003,1
1-532109338,1,2,1,142,2
1-532109338,1,2,1,35,2
1-532109338,1,2,1,1104,6
1-532109338,1,6,2,395,1
1-532109338,1,2,1,13,2
1-532109338,1,2,1,37456,4
1-532109338,1,4,1,20025,8
1-532109338,1,8,1,415859,3
1-532109338,1,3,5,11032,1
1-536444735,1,1,2,2.000000007,1
1-536444735,1,2,1,23,2
1-536444735,1,2,1,82.00000001,2
1-536444735,1,2,1,17312,4
1-536444735,1,4,1,20023,8
1-536444735,1,8,1,415868,3
1-536444735,1,3,5,11030,1
1-536481337,1,1,2,3.999999992,1
1-536481337,1,2,1,44,2
1-536481337,1,2,1,3959,6
1-536481337,1,6,1,7.000000002,2
1-536481337,1,2,1,96,2
1-536481337,1,2,1,30,2
1-536481337,1,2,1,13185,4
1-536481337,1,4,1,20114,8
1-536481337,1,8,1,415779,3
1-536481337,1,3,5,11029,1
1-537219938,1,1,2,15,1
1-537219938,1,2,1,23,2
1-537219938,1,2,1,347,2
1-537219938,1,2,1,962,2
1-537219938,1,2,1,4.000000003,1
1-537219938,1,1,2,119916,1
1-537219938,1,2,1,419377,2
1-537219938,1,2,1,20109,2
1-537219938,1,2,1,2712,3
1-537219938,1,3,5,10835,1
1-540390551,1,1,2,8.000000005,1
1-540390551,1,2,1,8.000000005,8
1-540390551,1,8,2,246,1
1-540390551,1,2,1,17,2
1-540390551,1,2,1,12912,1
1-540390551,1,1,3,415847,5
1-540390551,1,3,5,11028,1
1-541468268,1,1,2,1.999999996,1
1-541468268,1,2,1,863,2
1-541468268,1,2,1,69,2
1-541468268,1,2,1,7498,7
1-541468268,1,7,1,415784,3
1-541468268,1,3,5,11027,1
1-543317665,1,1,2,4.999999995,1
1-543317665,1,2,1,42.99999999,2
1-543317665,1,2,1,22,6
1-543317665,1,6,1,7.000000002,2
1-543317665,1,2,1,58,2
1-543317665,1,2,2,7.000000002,1
1-543317665,1,2,1,1140,2
1-543317665,1,2,1,172,2
1-543317665,1,2,1,30342,8
1-543317665,1,8,1,376799,3
1-543317665,1,3,5,11025,1
1-543979253,1,1,2,8.999999998,1
1-543979253,1,2,1,410316,3
